t,Va,Vb,Vc,Ia,Ib,Ic,Fault
0.0225,297.1884812,-254.5029585,-42.68552267,9271.852101,-7977.743985,-1294.108117,0
0.0226,300.883148,-248.2137582,-52.66938981,9388.484753,-7782.19355,-1606.291204,0
0.0227,304.2808795,-241.6796008,-62.60127863,9495.852102,-7578.96303,-1916.889072,0
0.0228,307.3783224,-234.9069349,-72.47138754,9593.848188,-7368.252988,-2225.5952,0
0.0229,310.1724201,-227.9024442,-82.26997594,9682.376302,-7150.27137,-2532.104932,0
0.023,312.6604151,-220.6730413,-91.98737381,9761.349076,-6925.233298,-2836.115778,0
0.0231,314.839852,-213.2258607,-101.6139913,9830.688574,-6693.360856,-3137.327718,0
0.0232,316.7085799,-205.568252,-111.1403279,9890.326367,-6454.882875,-3435.443492,0
0.0233,318.2647547,-197.7077722,-120.5569826,9940.203599,-6210.034705,-3730.168895,0
0.0234,319.5068407,-189.6521787,-129.854662,9980.271048,-5959.057979,-4021.213068,0
0.0235,320.4336119,-181.4094214,-139.0241905,10010.48917,-5702.200383,-4308.288787,0
0.0236,321.0441539,-172.9876349,-148.056519,10030.82815,-5439.715404,-4591.112742,0
0.0237,321.3378641,-164.3951305,-156.9427336,10041.2679,-5171.862082,-4869.405821,0
0.0238,321.3144525,-155.6403879,-165.6740646,10041.79814,-4898.904757,-5142.893381,0
0.0239,320.9739424,-146.7320471,-174.2418953,10032.41833,-4621.112804,-5411.305523,0
0.024,320.3166698,-137.6788995,-182.6377703,10013.13773,-4338.760371,-5674.377357,0
0.0241,319.3432833,-128.4898794,-190.8534039,9983.975369,-4052.126105,-5931.849263,0
0.0242,318.0547436,-119.1740553,-198.8806883,9944.960028,-3761.49288,-6183.467148,0
0.0243,316.4523222,-109.7406208,-206.7117014,9896.130209,-3467.147516,-6428.982694,0
0.0244,314.5376005,-100.1988856,-214.338715,9837.534102,-3169.380495,-6668.153607,0
0.0245,312.3124683,-90.55826613,-221.7542021,9769.229534,-2868.485679,-6900.743855,0
0.0246,309.7791213,-80.82827661,-228.9508447,9691.283913,-2564.760014,-7126.523899,0
0.0247,306.9400597,-71.01851935,-235.9215404,9603.774161,-2258.50324,-7345.270922,0
0.0248,303.7980854,-61.13867538,-242.65941,9506.786642,-1950.017596,-7556.769046,0
0.0249,300.356299,-51.19849492,-249.1578041,9400.417069,-1639.60752,-7760.809548,0
0.025,296.6180973,-41.20778773,-255.4103095,9284.770416,-1327.57935,-7957.191066,0
0.0251,292.5871692,-31.17641342,-261.4107558,9159.960813,-1014.241019,-8145.719794,0
0.0252,288.267493,-21.11427176,-267.1532212,9026.111432,-699.9017543,-8326.209678,0
0.0253,283.6633316,-11.03129286,-272.6320387,8883.354366,-384.8717713,-8498.482594,0
0.0254,278.7792286,-0.937427407,-277.8418012,8731.830498,-69.46196631,-8662.368532,0
0.0255,273.6200043,9.157363173,-282.7773675,8571.689366,246.0163892,-8817.705755,0
0.0256,268.1907501,19.24311654,-287.4338666,8403.089008,561.2519563,-8964.340964,0
0.0257,262.4968239,29.30987928,-291.8067032,8226.195813,875.9336354,-9102.129448,0
0.0258,256.5438451,39.3477167,-295.8915618,8041.184353,1189.750874,-9230.935227,0
0.0259,250.3376885,49.34672268,-299.6844112,7848.237212,1502.393972,-9350.631184,0
0.026,243.8844788,59.2970294,-303.1815082,7647.544806,1813.554388,-9461.099194,0
0.0261,237.1905846,69.18881711,-306.3794017,7439.305193,2122.925045,-9562.230239,0
0.0262,230.2626119,79.01232381,-309.2749357,7223.723882,2430.200632,-9653.924514,0
0.0263,223.1073978,88.75785489,-311.8652527,7001.013624,2735.077904,-9736.091528,0
0.0264,215.7320036,98.41579268,-314.1477963,6771.394208,3037.255984,-9808.650193,0
0.0265,208.143708,107.976606,-316.120314,6535.092241,3336.436659,-9871.528901,0
